soc_2010_code,soc_2018_code,match_type
25-1125,25-1125,exact
25-1126,25-1126,exact
25-1191,25-9044,exact
25-1192,25-1192,exact
25-1193,25-1193,exact
25-1194,25-1194,exact
25-1199,25-1199,exact
25-2011,25-2011,exact
25-2012,25-2012,exact
25-2021,25-2021,exact
25-2022,25-2022,exact
25-2023,25-2023,exact
25-2031,25-2031,exact
25-2032,25-2032,exact
25-2051,25-2051,exact
25-2052,25-2055,partial
25-2052,25-2056,partial
25-2053,25-2057,exact
25-2054,25-2058,exact
25-2059,25-2059,exact
25-3011,25-3011,exact
25-3021,25-3021,exact
25-3099,25-3031,partial
25-3099,25-3041,partial
25-3099,25-3099,partial
25-4011,25-4011,exact
25-4012,25-4012,exact
25-4013,25-4013,exact
25-4021,25-4022,partial
25-4031,25-4031,exact
25-9011,25-4022,partial
25-9021,25-9021,exact
25-9031,25-9031,exact
25-9041,25-9042,partial
25-9041,25-9043,partial
25-9041,25-9049,partial
25-9099,25-9099,exact
27-1011,27-1011,exact
27-1012,27-1012,exact
27-1013,27-1013,exact
27-1014,27-1014,exact
27-1019,27-1019,exact
27-1021,27-1021,exact
27-1022,27-1022,exact
27-1023,27-1023,exact
27-1024,27-1024,exact
27-1025,27-1025,exact
27-1026,27-1026,exact
27-1027,27-1027,exact
27-1029,27-1029,exact
27-2011,27-2011,exact
27-2012,27-2012,exact
27-2021,27-2021,exact
27-2022,27-2022,exact
27-2023,27-2023,exact
27-2031,27-2031,exact
27-2032,27-2032,exact
27-2041,27-2041,exact
27-2042,27-2042,exact
27-2099,27-2091,partial
27-2099,27-2099,partial
27-3011,27-3011,exact
27-3012,27-3099,partial
27-3021,27-3023,partial
27-3022,27-3023,partial
27-3031,27-3031,exact
27-3041,27-3041,exact
27-3042,27-3042,exact
27-3043,27-3043,exact
27-3091,27-3091,exact
27-3099,27-3099,partial
27-4011,27-4011,exact
27-4012,27-4012,exact
27-4013,43-2099,partial
27-4014,27-4014,exact
27-4021,27-4021,exact
27-4031,27-4031,exact
27-4032,27-4032,exact
27-4099,27-4015,partial
27-4099,27-4099,partial
29-1011,29-1011,exact
29-1021,29-1021,exact
29-1022,29-1022,exact
29-1023,29-1023,exact
29-1024,29-1024,exact
29-1029,29-1029,exact
29-1031,29-1031,exact
29-1041,29-1041,exact
29-1051,29-1051,exact
29-1061,29-1211,exact
29-1062,29-1215,exact
29-1063,29-1216,exact
29-1064,29-1218,exact
29-1065,29-1221,exact
29-1066,29-1223,exact
29-1067,29-1242,partial
29-1067,29-1243,partial
29-1067,29-1249,partial
29-1069,29-1212,partial
29-1069,29-1213,partial
29-1069,29-1214,partial
29-1069,29-1217,partial
29-1069,29-1222,partial
29-1069,29-1224,partial
29-1069,29-1229,partial
29-1069,29-1241,partial
29-1071,29-1071,exact
29-1081,29-1081,exact
29-1122,29-1122,exact
29-1123,29-1123,exact
29-1124,29-1124,exact
29-1125,29-1125,exact
29-1126,29-1126,exact
29-1127,29-1127,exact
29-1128,29-1128,exact
29-1129,29-1129,exact
29-1131,29-1131,exact
29-1141,29-1141,exact
29-1151,29-1151,exact
29-1161,29-1161,exact
29-1171,29-1171,exact
29-1181,29-1181,exact
29-1199,29-1291,partial
29-1199,29-1299,partial
29-2011,29-2011,exact
29-2012,29-2012,exact
29-2021,29-1292,exact
29-2031,29-2031,exact
29-2032,29-2032,exact
29-2033,29-2033,exact
29-2034,29-2034,exact
29-2035,29-2035,exact
29-2041,29-2042,partial
29-2041,29-2043,partial
29-2051,29-2051,exact
29-2052,29-2052,exact
29-2053,29-2053,exact
29-2054,29-2099,partial
29-2055,29-2055,exact
29-2056,29-2056,exact
29-2057,29-2057,exact
29-2061,29-2061,exact
29-2071,29-2072,partial
29-2071,29-9021,partial
29-2081,29-2081,exact
29-2091,29-2091,exact
29-2092,29-2092,exact
29-2099,29-2036,partial
29-2099,29-2099,partial
29-9011,19-5011,exact
29-9012,19-5012,exact
29-9091,29-9091,exact
29-9092,29-9092,exact
29-9099,29-9021,partial
29-9099,29-9093,partial
29-9099,29-9099,partial
31-1011,31-1121,exact
31-1013,31-1133,exact
31-1014,31-1131,exact
31-1015,31-1132,exact
31-2011,31-2011,exact
31-2012,31-2012,exact
31-2021,31-2021,exact
31-2022,31-2022,exact
31-9011,31-9011,exact
31-9091,31-9091,exact
31-9092,31-9092,exact
31-9093,31-9093,exact
31-9094,31-9094,exact
31-9095,31-9095,exact
31-9096,31-9096,exact
31-9097,31-9097,exact
31-9099,31-9099,exact
33-1011,33-1011,exact
33-1012,33-1012,exact
33-1021,33-1021,exact
33-1099,33-1091,partial
