occupation_id,isco08_code,match_type
262232,2269,exact
262331,2269,exact
262531,2269,exact
262932,2269,exact
262999,2269,exact
263934,2269,exact
263936,2269,exact
263999,2269,exact
269999,2269,partial
252131,2310,exact
252132,2310,exact
252231,2310,partial
252231,2320,partial
259931,2320,exact
251331,2330,exact
251931,2330,partial
251231,2341,exact
251931,2341,partial
251131,2342,exact
259331,2351,exact
259332,2351,exact
251431,2352,exact
251432,2352,exact
251433,2352,exact
259999,2352,partial
259131,2353,partial
259299,2353,partial
259531,2353,exact
259431,2354,exact
259231,2355,exact
259232,2355,exact
259233,2355,exact
222431,2356,partial
259131,2359,partial
259299,2359,partial
259999,2359,partial
261136,2359,exact
211131,2411,exact
211133,2411,exact
211134,2411,exact
211135,2411,exact
211231,2411,exact
211232,2411,exact
212131,2412,exact
212333,2412,exact
212332,2413,partial
212931,2413,partial
212999,2413,partial
111631,2421,partial
111632,2421,partial
223431,2421,exact
223432,2421,exact
223433,2421,exact
223434,2421,exact
221331,2422,exact
223331,2422,exact
223332,2422,exact
222131,2423,exact
222132,2423,exact
222231,2423,partial
259932,2423,exact
411431,2423,partial
599941,2423,exact
222431,2424,partial
221131,2431,partial
221531,2431,exact
221532,2431,exact
221533,2431,exact
221534,2431,exact
231331,2431,partial
221231,2432,exact
221332,2432,partial
231331,2432,partial
221633,2433,exact
221634,2433,exact
221699,2433,exact
244133,2433,partial
221431,2434,exact
221631,2434,exact
221632,2434,exact
273231,2511,exact
273232,2511,exact
273233,2511,exact
273234,2511,exact
271135,2512,exact
273331,2512,exact
273332,2512,exact
273333,2512,partial
273131,2513,exact
273132,2513,exact
273333,2514,partial
271137,2519,exact
272231,2519,exact
272232,2519,exact
272233,2519,exact
271231,2521,exact
271232,2522,exact
272132,2522,exact
272131,2523,exact
272133,2523,exact
271131,2529,exact
271132,2529,exact
271133,2529,exact
271134,2529,exact
271136,2529,exact
281131,2611,exact
281232,2611,exact
281237,2611,exact
281331,2611,exact
281233,2612,exact
281235,2612,exact
281231,2619,exact
281234,2619,exact
281236,2619,exact
281238,2619,exact
281299,2619,exact
223935,2621,partial
232332,2621,exact
232334,2621,exact
244931,2621,exact
223935,2622,partial
223999,2622,partial
232131,2622,exact
232333,2631,exact
232331,2632,exact
232335,2632,partial
232399,2632,partial
232335,2633,partial
232336,2633,exact
232399,2633,partial
261134,2634,exact
261231,2634,exact
231931,2635,exact
259933,2635,exact
261131,2635,exact
261132,2635,exact
261133,2635,exact
261135,2635,exact
261331,2635,exact
261932,2635,exact
411131,2635,exact
411132,2635,exact
411633,2635,exact
411631,2635,exact
411636,2635,exact
411931,2635,exact
441331,2635,exact
149199,2636,partial
232231,2636,partial
231231,2641,exact
231232,2641,exact
231334,2641,exact
231399,2641,partial
231332,2642,exact
231333,2642,partial
231399,2642,partial
232399,2643,partial
411531,2643,exact
411532,2643,exact
231731,2651,exact
231732,2651,partial
231733,2651,exact
242333,2651,partial
231135,2652,partial
231631,2652,exact
231632,2652,exact
231633,2652,exact
231634,2652,exact
231699,2652,partial
231134,2653,exact
221131,2654,partial
231431,2654,exact
231432,2654,exact
231433,2654,exact
231434,2654,exact
231435,2654,partial
231436,2654,exact
231437,2654,exact
231438,2654,exact
231499,2654,exact
231531,2654,exact
231532,2654,exact
231533,2654,exact
231131,2655,exact
