osca_code,osca_title
299133,Flight Instructor
299134,Helicopter Pilot
299199,Air Transport Professionals nec
313434,Master Fisher
313431,Marine Engineer
313432,Marine Pilot
313435,Ship's Master
313436,Ship's Officer
313433,Marine Surveyor
313499,"Marine Transport Masters, Officers and Technicians nec"
241131,Architect
241132,Landscape Architect
241133,Urban Designer
312134,Landscape Designer
241232,Engineering Surveyor
241234,Land Surveyor
241235,Mine Surveyor
241299,Geospatial Information Professionals and Surveyors nec
241231,Cartographer
241233,Geospatial Specialist
242231,Fashion Designer
242232,Industrial Designer
242234,Textile Designer
242233,Jewellery Designer
242331,Animator or Visual Effects Artist
242332,Graphic Designer
242333,Illustrator
242131,Multimedia Designer
259331,Education Adviser
273131,Digital Game Developer
242133,Web Designer
242431,Interior Designer
241331,Urban and Regional Planner
243131,Chemical Engineer
243133,Materials Engineer
243231,Civil Engineer
243236,Water Engineer
243232,Geotechnical Engineer
241932,Quantity Surveyor
243234,Structural Engineer
243233,Rail Engineer
243235,Transport Engineer
243331,Electrical Engineer
243332,Rail Signalling Engineer
243431,Electronics Engineer
243531,Industrial Engineer
243532,Mechanical Engineer
243533,Production or Plant Engineer
243631,Mining Engineer (excluding Petroleum)
243632,Petroleum Engineer
243932,Aerospace Engineer
243999,Engineering Professionals nec
243933,Biomedical Engineer
243934,Engineering Technologist
243935,Environmental Engineer
243938,Naval Architect
243931,Acoustic Engineer
243936,Fire Safety Engineer
243937,Mechatronics Engineer
244131,Agricultural Consultant
244132,Agricultural Research Scientist
244134,Aquaculture or Fisheries Scientist
244135,Forester
244231,Chemist
244232,Food Technologist
244233,Winemaker
244332,Conservation Officer
244431,Environmental Consultant
244333,Ecologist
244432,Environmental Research Scientist
244331,Aboriginal and Torres Strait Islander Land and Sea Ranger
244334,Park Ranger
244499,Environmental Consultants and Scientists nec
244531,Geologist
244532,Geophysicist
244533,Hydrologist
244699,Life Scientists nec
244631,Biotechnologist
244632,Botanist
244634,Marine Biologist
244635,Microbiologist
244633,Entomologist
244636,Zoologist
263934,Neurophysiology Scientist
244731,Medical Laboratory Scientist
269531,Veterinarian
244931,Conservator
243132,Extractive Metallurgist
244932,Meteorologist
244732,Medical Physicist
244933,Physicist
262231,Exercise Physiologist
262232,Exercise and Sports Scientist
244999,Natural and Physical Science Professionals nec
263936,Respiratory or Sleep Scientist
251131,Early Childhood (Pre-primary School) Teacher
251231,Primary School Teacher
251931,Teacher Librarian
251331,Secondary School Teacher
251431,Special Education Teacher
259999,Education Professionals nec
251433,Teacher of the Deaf
251432,Specialist Teacher (Vision Impairment)
252131,University Lecturer
252132,University Tutor
252231,Vocational Education Teacher
259931,Adult Literacy / Numeracy Teacher
259332,Education Reviewer
259231,Art Teacher (Private Tuition)
259232,Dance Teacher (Private Tuition)
259233,Speech and Drama Teacher (Private Tuition)
259431,Music Teacher (Private Tuition)
259131,Academic Tutor (Private Tuition)
259299,Arts and Personal Enrichment Teachers (Private Tuition) nec
259531,Teacher of English to Speakers of Other Languages
263231,Dietitian
263232,Nutritionist
263133,Radiographer
263132,Radiation Therapist
263131,Nuclear Medicine Technologist
263531,Sonographer
263932,Cardiac Physiologist
269331,Environmental Health Officer
222331,Rehabilitation Consultant
222332,Work Health and Safety Adviser
263331,Optometrist
263935,Orthoptist
263432,Hospital Pharmacist
263431,Community Pharmacist
263933,Diabetes Educator
265131,Midwife
269332,Health Promotion Officer
262931,Orthotist / Prosthetist
261999,"Allied Health Counselling, Psychology, Social Work and Creative Therapy Professionals nec"
262999,Allied Health Physical and Sensory Therapy Professionals nec
263999,Allied Health Science Professionals nec
269999,Health Professionals nec
262131,Chiropractor
262932,Osteopath
269931,Acupuncturist
269933,Naturopath
269932,Chinese Medicine Practitioner
261931,Arts Therapist
261933,Music Therapist
269231,Dental Specialist
269232,Dentist
262331,Occupational Therapist
262431,Physiotherapist
262531,Podiatrist
263931,Audiologist
262631,Speech Pathologist
264231,General Practitioner
264531,Resident Medical Officer
264131,Anaesthetist
264331,General Medicine Physician
264332,Cardiologist
264336,Haematologist
264338,Medical Oncologist
264333,Endocrinologist
264334,Gastroenterologist
264337,Intensive Care Specialist
264342,Neurologist
264343,Paediatrician
264345,Respiratory Physician
264341,Nephrologist
264346,Rheumatologist
264335,Geriatrician
264344,Public Health Physician
264399,Physicians nec
264431,Psychiatrist
264631,General Surgeon
264632,Cardiothoracic Surgeon
264633,Neurosurgeon
264634,Orthopaedic Surgeon
264635,Otolaryngologist
264636,Paediatric Surgeon
264637,Plastic and Reconstructive Surgeon
264638,Urologist
264641,Vascular Surgeon
264931,Dermatologist
264932,Emergency Medicine Specialist
264933,Obstetrician and Gynaecologist
264934,Ophthalmologist
264935,Pathologist
264937,Radiologist
264936,Radiation Oncologist
264999,Medical Practitioners nec
265231,Nurse Educator
265232,Nurse Researcher
265331,Nursing / Midwifery Unit Manager
265431,Nurse Practitioner
265433,Registered Nurse (Aged Care)
265435,Registered Nurse (Primary Health Care)
265432,Registered Nurse (Acute Care)
265434,Registered Nurse (Mental Health)
265499,Registered Nurses nec
223431,Enterprise Architect
273231,Cloud Architect
273232,ICT Business Analyst
273233,Solution Architect
273234,Systems Analyst
273132,Web Developer
273333,Software Engineer
223232,Data Architect
223233,Data Engineer
271135,Cyber Security Engineer
273331,Cloud Engineer
273332,DevOps Engineer
271137,Penetration Tester
272233,ICT Test Analyst
271231,Database Administrator
271131,Cyber Governance Risk and Compliance Specialist
271132,Cyber Security Advice and Assessment Specialist
271133,Cyber Security Analyst
271134,Cyber Security Architect
271136,Cyber Security Operations Coordinator
271232,Systems Administrator
272131,ICT Network and Systems Engineer
272132,Network Administrator
272133,Network Architect
