osca_code,osca_title
821731,Scaffolder
821732,Steel Fixer
821733,Structural Steel Erector
821232,Dogger
821931,Driller's Offsider
821932,Lagger
821933,Mining Support Worker
821936,Surveyor's Assistant
831131,Baking Factory Worker
831132,Brewery Worker
831134,Confectionery Maker
831135,Dairy Products Factory Worker
831136,Fruit and Vegetable Factory Worker
831137,Grain Mill Worker
831138,Sugar Mill Worker
831141,Winery Cellar Hand
831133,Coffee Roaster
831199,Food and Drink Factory Workers nec
831231,Meat Boner and Slicer
831232,Slaughterer
831331,Meat Process Worker
831332,Poultry Process Worker
831333,Seafood Process Worker
832132,Chocolate Packer
832131,Packer (General)
832133,Fruit and Vegetable Packer
832134,Meat Packer
832135,Seafood Packer
832231,Product Assembler
839135,Metal Engineering Process Worker
839137,Plastics Factory Worker
839199,Materials and Chemical Process Workers nec
839231,Product Examiner
839232,Product Grader
839233,Product Tester
839136,Paper and Pulp Process Worker
839141,Timber and Wood Process Worker
839131,Cement and Concrete Plant Worker
839132,Chemical Plant Worker
839133,Fabric and Textile Factory Worker
839134,Glass Processing Worker
839138,Recycling Worker
841331,Aquaculture Worker
841132,Fruit Farm Worker
841136,Nut Farm Worker
841133,Fruit Picker
841134,"Grain, Oilseed, Pulse and Pasture Farm Worker"
841138,Vegetable Farm Worker
841141,Vegetable Picker
841142,Vineyard Worker
841135,Mushroom Picker
841131,Cotton Farm Worker
841137,Sugar Cane Farm Worker
841199,Crop Farm Workers nec
343133,Forestry Operations Supervisor
842932,Forestry Worker
842131,Garden Labourer
842231,Horticultural Nursery Assistant
841231,Beef Cattle Farm Worker
841233,Dairy Cattle Farm Worker
841232,Cattle and Sheep Farm Worker
841299,Livestock Farm Workers nec
841236,Poultry Farm Worker
841234,Livestock Husbandry Worker
841237,Sheep Farm Worker
341133,Track Rider
841238,Stablehand
841241,Wool Handler
841235,Piggery Farm Worker
841332,Broadacre Crop and Livestock Farm Worker
841399,Mixed Production and Aquaculture Farm Workers nec
842999,Garden and Forestry Workers nec
399331,Pest Control Technician
842931,Bush Regenerator
842933,Irrigation Assistant
851131,Fast Food Cook
851233,Pastrycook's Assistant
851299,Food Preparation Assistants nec
851231,Kitchenhand (General)
851232,Dishwasher
891131,Freight Handler (Rail or Road)
891132,Truck Driver's Offsider
891231,Shelf Filler
899131,Caretaker
899231,Deck Hand
343132,Fishing Leading Hand
899232,Fishing Hand
899331,Handyperson
899431,Motor Vehicle Parts and Accessories Fitter (General)
899432,Autoglazier
899434,Tyre Fitter
899935,Recycling or Waste Collector
899941,Vending Machine Attendant
351432,Bicycle Technician
899931,Car Park Attendant
899932,Crossing Supervisor
899933,Electrical or Telecommunications Trades Assistant
899934,Leaflet or Newspaper Deliverer
899433,Mechanic's Assistant
899936,Sign Installer
899938,Trolley Collector
899631,Road Traffic Controller
899999,Labourers nec
