osca_code,osca_title,onet_code,onet_title,similarity_score,second_similarity_score,score_gap,candidate_count,mapping_status,mapping_method
121131,Chief Executive or Managing Director,,,0.1971892866654193,0.1005488376968072,0.0966404489686121,18,manual_review,manual_review
121231,Corporate General Manager,,,0.161231567603942,0.1269755872392632,0.034255980364678806,18,manual_review,manual_review
121232,Defence Force Senior Officer,,,,,,0,no_candidate,no_candidate
149231,Commissioned Defence Force Officer,,,,,,0,no_candidate,no_candidate
121331,Local Government Legislator,11-1031.00,Legislators,0.2863868774867621,,,1,accepted,single_candidate
121332,Member of Parliament,11-1031.00,Legislators,0.2756817182639988,,,1,accepted,single_candidate
121399,Legislators nec,11-1031.00,Legislators,,,,1,accepted,single_candidate
151331,Aquaculture Farmer,,,0.15390779528682,0.1202369447825034,0.033670850504316605,3,manual_review,manual_review
343131,Aquaculture Supervisor,,,0.1586927884257143,0.0156016002944368,0.1430911881312775,2,manual_review,manual_review
151131,Cotton Grower,,,0.1240838627090584,0.091588469436377,0.0324953932726814,3,manual_review,manual_review
343136,Senior Broadacre Crop Farm Worker,,,0.1432916755782733,0.1104013623097805,0.0328903132684928,2,manual_review,manual_review
151231,Flower Grower,,,0.1375104722375137,0.0653182052220714,0.0721922670154423,4,manual_review,manual_review
343134,Horticultural Supervisor or Specialist,,,0.1427460999587104,0.106291815815893,0.0364542841428174,4,manual_review,manual_review
151232,Fruit Grower,,,0.1020812560541209,0.0896652786424631,0.0124159774116578,3,manual_review,manual_review
151233,Nut Grower,,,0.1224236697250159,0.0790706516225423,0.04335301810247359,3,manual_review,manual_review
151132,"Grain, Oilseed, Pulse or Pasture Grower",,,0.0992949253778972,0.0588377825961701,0.04045714278172711,3,manual_review,manual_review
151237,Wine Grape Grower,,,0.0865066951555159,0.0752718267369716,0.011234868418544305,3,manual_review,manual_review
343137,Vineyard Supervisor,,,0.1112805863418904,0.0662430645895595,0.0450375217523309,2,manual_review,manual_review
151299,Horticultural Crop Growers nec,,,,,,5,manual_review,manual_review
151399,Mixed Production and Aquaculture Farmers nec,,,,,,4,manual_review,manual_review
151133,Sugar Cane Grower,,,0.0979822889393505,0.071997024972595,0.025985263966755504,3,manual_review,manual_review
151235,Turf Grower,,,0.1020037617043944,0.052252299244311,0.049751462460083405,3,manual_review,manual_review
151236,Vegetable Grower,,,0.102346447829649,0.0943825993848011,0.00796384844484789,3,manual_review,manual_review
151199,Broadacre Crop Growers nec,,,,,,3,manual_review,manual_review
151234,Production Nursery Grower,,,0.0888694989530759,0.0401425584881593,0.0487269404649166,3,manual_review,manual_review
343199,"Senior Aquaculture, Crop and Forestry Workers nec",,,,,,2,manual_review,manual_review
152931,Apiarist,,,0.0717107125316232,0.0294561193619597,0.0422545931696635,3,manual_review,manual_review
152131,Beef Cattle Farmer,,,0.1293036503052773,0.0505658254813002,0.07873782482397709,3,manual_review,manual_review
343231,Senior Beef Cattle Station Worker,,,0.0569011095875939,0.006648369362737,0.0502527402248569,2,manual_review,manual_review
152231,Dairy Cattle Farmer,,,0.1218125868499388,0.050462322554509,0.0713502642954298,3,manual_review,manual_review
343233,Senior Dairy Cattle Farm Worker,,,0.0504319696986413,0.005914674601161,0.0445172950974803,2,manual_review,manual_review
152999,Livestock Farmers nec,,,,,,3,manual_review,manual_review
152932,Goat Farmer,,,0.1245857578823661,0.0437368356294639,0.0808489222529022,3,manual_review,manual_review
152933,Horse Breeder,,,0.1010068516633003,0.0339907571398198,0.06701609452348051,3,manual_review,manual_review
343234,Senior Horse Stable or Stud Worker,,,0.0719096731841943,0.0065734975761278,0.06533617560806651,2,manual_review,manual_review
152331,Mixed Cattle and Sheep Farmer,,,0.1387031670785141,0.0413202796659764,0.0973828874125377,3,manual_review,manual_review
343232,Senior Cattle and Sheep Farm Worker,,,0.0579464476161645,0.0067705074611542,0.0511759401550103,2,manual_review,manual_review
152934,Pig Farmer,,,0.1311758631340024,0.0477675826523899,0.0834082804816125,3,manual_review,manual_review
343235,Senior Piggery Stockperson,,,0.0823049127309186,0.0250306705769901,0.0572742421539285,2,manual_review,manual_review
152935,Poultry Farmer,,,0.1627160799397421,0.0587094381919428,0.1040066417477993,3,manual_review,manual_review
343299,Senior Livestock Farm Workers nec,,,,,,2,manual_review,manual_review
152431,Sheep Farmer,,,0.1130533270585872,0.0412529545324983,0.0718003725260889,3,manual_review,manual_review
343236,Senior Sheep Farm Worker,,,0.0669879752064414,0.0079469170040713,0.0590410582023701,2,manual_review,manual_review
151332,Broadacre Crop and Livestock Farmer,,,0.1991906880543635,0.0904617075504632,0.10872898050390029,4,manual_review,manual_review
343135,Senior Broadacre Crop and Livestock Farm Worker,,,0.1147095526385399,0.114521920069491,0.00018763256904889836,3,manual_review,manual_review
112132,Business Development Manager,,,0.1741896682470537,0.1677605246116537,0.006429143635400009,2,manual_review,manual_review
112133,Sales and Marketing Manager,11-2022.00,Sales Managers,0.3554024300568194,0.2394848749799612,0.11591755507685816,2,accepted,score_and_gap_rule
112131,Advertising Manager,,,0.2516339448406174,0.0899816302319139,0.1616523146087035,3,manual_review,manual_review
112231,Communications Manager (Public Relations),11-2032.00,Public Relations Managers,0.3362295595545608,0.1744247898189115,0.1618047697356493,3,accepted,score_and_gap_rule
111131,Corporate Services Manager,,,0.2403061110738689,0.2116213796133323,0.0286847314605366,23,manual_review,manual_review
111231,Finance Manager,11-3031.01,Treasurers and Controllers,0.3998028127833921,0.2046086622798166,0.19519415050357547,3,accepted,score_and_gap_rule
111331,Human Resources Manager,,,0.2916687546009096,0.2734064766534907,0.01826227794741886,3,manual_review,manual_review
111633,Work Health and Safety Manager,,,0.1092134605697142,0.0785855182667975,0.03062794230291671,3,manual_review,manual_review
111431,Policy and Planning Manager,,,0.1098205985591492,0.1027739326794511,0.0070466658796981,12,manual_review,manual_review
111531,Research and Development Manager,,,0.1663338783943637,0.144271945613398,0.022061932780965687,5,manual_review,manual_review
131131,Construction Project Manager,11-9021.00,Construction Managers,0.3514813741238109,,,1,accepted,single_candidate
131331,Project Builder,11-9021.00,Construction Managers,0.2975772080610756,,,1,accepted,single_candidate
131231,Engineering Manager,,,0.1783853708216614,0.1171067779390367,0.06127859288262469,12,manual_review,manual_review
133131,Importer or Exporter,,,0.1360144752785786,0.0859014781611461,0.0501129971174325,2,manual_review,manual_review
133132,Wholesaler,11-1021.00,General and Operations Managers,0.2355144652937879,,,1,accepted,single_candidate
132131,Manufacturer,,,0.229045568572904,0.1812058696678327,0.04783969890507131,6,manual_review,manual_review
132231,Forest Manager,11-9013.00,"Farmers, Ranchers, and Other Agricultural Managers",0.0860138480800476,,,1,accepted,single_candidate
132232,Production Manager (Manufacturing),,,0.28227184268512,0.2733122871953923,0.00895955548972771,7,manual_review,manual_review
132233,Production Manager (Mining),,,0.1416005115813524,0.1014188109561356,0.040181700625216796,12,manual_review,manual_review
133331,Supply and Distribution Manager,,,0.1453062514379287,0.1322096193278703,0.013096632110058404,2,manual_review,manual_review
133231,Procurement Manager,,,0.2415072674979618,0.1213982613030655,0.12010900619489631,2,manual_review,manual_review
141231,Children's Education and Care Service Director,11-9031.00,"Education and Childcare Administrators, Preschool and Daycare",0.1527723621751198,,,1,accepted,single_candidate
141333,Medical Administrator,11-9111.00,Medical and Health Services Managers,0.3708413925996984,,,1,accepted,single_candidate
141331,Aged Care Manager,,,0.1735458716579921,0.0692134208125841,0.104332450845408,2,manual_review,manual_review
141332,Director of Nursing / Midwifery,11-9111.00,Medical and Health Services Managers,0.256042406734792,,,1,accepted,single_candidate
141399,Health and Welfare Service Managers nec,,,,,,3,manual_review,manual_review
141335,Welfare Centre Manager,11-9151.00,Social and Community Service Managers,0.1807842226431153,,,1,accepted,single_candidate
141334,Paramedic Manager,11-9111.00,Medical and Health Services Managers,0.1949850351876845,,,1,accepted,single_candidate
141131,Assistant School Principal,11-9032.00,"Education Administrators, Kindergarten through Secondary",0.3433077237271702,0.0959061644381772,0.24740155928899302,3,accepted,score_and_gap_rule
141132,School Principal,11-9032.00,"Education Administrators, Kindergarten through Secondary",0.3114457533256992,0.0937926602863821,0.21765309303931707,3,accepted,score_and_gap_rule
141431,Faculty Manager,,,0.2701319071834285,0.188858779561393,0.08127312762203551,3,manual_review,manual_review
141432,Regional Education Manager,11-9032.00,"Education Administrators, Kindergarten through Secondary",0.3409347334697279,0.1456804227840869,0.195254310685641,3,accepted,score_and_gap_rule
141499,Education Managers nec,,,,,,3,manual_review,manual_review
113131,Chief Information Officer,11-3021.00,Computer and Information Systems Managers,0.1165306792588418,,,1,accepted,single_candidate
113132,Chief Information Security Officer,11-3021.00,Computer and Information Systems Managers,0.1476643960566085,,,1,accepted,single_candidate
