osca_code,osca_occupation,anzsco_code,match_flag,anzsco_occupation
265433,Registered Nurse (Aged Care),254412,,Registered Nurse (Aged Care)
265434,Registered Nurse (Mental Health),254422,,Registered Nurse (Mental Health)
265435,Registered Nurse (Primary Health Care),254413,,Registered Nurse (Child and Family Health)
265435,Registered Nurse (Primary Health Care),254414,,Registered Nurse (Community Health)
265435,Registered Nurse (Primary Health Care),254416,,Registered Nurse (Developmental Disability)
265435,Registered Nurse (Primary Health Care),254417,p,Registered Nurse (Disability and Rehabilitation)
265435,Registered Nurse (Primary Health Care),254421,,Registered Nurse (Medical Practice)
265435,Registered Nurse (Primary Health Care),254499,p,Registered Nurses nec
265499,Registered Nurses nec,254499,p,Registered Nurses nec
269131,Dental Hygienist,411211,,Dental Hygienist
269132,Dental Prosthetist,411212,,Dental Prosthetist
269133,Oral Health Therapist or Dental Therapist,411214,,Dental Therapist
269231,Dental Specialist,252311,,Dental Specialist
269232,Dentist,252312,,Dentist
269331,Environmental Health Officer,251311,,Environmental Health Officer
269332,Health Promotion Officer,251911,p,Health Promotion Officer
269431,Critical Care Paramedic,411112,,Intensive Care Ambulance Paramedic (Aus) / Ambulance Paramedic (NZ)
269432,Paramedic,411111,p,Ambulance Officer
269531,Veterinarian,234711,,Veterinarian
269532,Veterinary Technologist,311413,p,Life Science Technician
269931,Acupuncturist,252211,,Acupuncturist
269932,Chinese Medicine Practitioner,252214,,Traditional Chinese Medicine Practitioner
269933,Naturopath,252213,,Naturopath
269999,Health Professionals nec,251999,p,Health Diagnostic and Promotion Professionals nec
269999,Health Professionals nec,252212,,Homoeopath
269999,Health Professionals nec,252215,,Traditional Māori Health Practitioner
269999,Health Professionals nec,252299,p,Complementary Health Therapists nec
269999,Health Professionals nec,451513,,Herbalist (Western)
271131,Cyber Governance Risk and Compliance Specialist,262114,,Cyber Governance Risk and Compliance Specialist
271132,Cyber Security Advice and Assessment Specialist,262115,,Cyber Security Advice and Assessment Specialist
271133,Cyber Security Analyst,262116,,Cyber Security Analyst
271134,Cyber Security Architect,262117,,Cyber Security Architect
271135,Cyber Security Engineer,261315,,Cyber Security Engineer
271136,Cyber Security Operations Coordinator,262118,,Cyber Security Operations Coordinator
271137,Penetration Tester,261317,,Penetration Tester
271231,Database Administrator,262111,,Database Administrator
271232,Systems Administrator,262113,,Systems Administrator
272131,ICT Network and Systems Engineer,263111,,Computer Network and Systems Engineer
272131,ICT Network and Systems Engineer,263113,p,Network Analyst
272132,Network Administrator,263112,,Network Administrator
272133,Network Architect,263113,p,Network Analyst
272231,ICT Quality Assurance Engineer,263211,,ICT Quality Assurance Engineer
272232,ICT Support Engineer,263212,,ICT Support Engineer
272233,ICT Test Analyst,261314,,Software Tester
272233,ICT Test Analyst,263213,,ICT Systems Test Engineer
272233,ICT Test Analyst,263299,,ICT Support and Test Engineers nec
272331,Telecommunications Engineer,263311,,Telecommunications Engineer
272331,Telecommunications Engineer,263312,,Telecommunications Network Engineer
273131,Digital Game Developer,232413,p,Multimedia Designer
273131,Digital Game Developer,261211,p,Multimedia Specialist
273132,Web Developer,261211,p,Multimedia Specialist
273132,Web Developer,261212,p,Web Developer
273231,Cloud Architect,261111,p,ICT Business Analyst
273232,ICT Business Analyst,261111,p,ICT Business Analyst
273233,Solution Architect,261111,p,ICT Business Analyst
273233,Solution Architect,261112,p,Systems Analyst
273233,Solution Architect,261313,p,Software Engineer
273234,Systems Analyst,261112,p,Systems Analyst
273331,Cloud Engineer,261316,p,DevOps Engineer
273332,DevOps Engineer,261316,p,DevOps Engineer
273333,Software Engineer,261212,p,Web Developer
273333,Software Engineer,261311,,Analyst Programmer
273333,Software Engineer,261312,,Developer Programmer
273333,Software Engineer,261313,p,Software Engineer
273333,Software Engineer,261399,,Software and Applications Programmers nec
281131,Barrister,271111,p,Barrister
281231,Family Dispute Resolution Practitioner,271299,p,Judicial and Other Legal Professionals nec
281232,Intellectual Property Lawyer,271214,,Intellectual Property Lawyer
281233,Judge,271211,,Judge
281234,Judge's Associate,599214,p,Law Clerk
281235,Magistrate,271212,,Magistrate
281236,Migration Agent,224913,,Migration Agent / Immigration Consultant
281237,Police Prosecutor,271111,p,Barrister
281238,Tribunal Member,271213,,Tribunal Member
281299,Judicial and Other Legal Professionals nec,271299,p,Judicial and Other Legal Professionals nec
281331,Solicitor,271311,,Solicitor
299131,Aeroplane Pilot,231111,,Aeroplane Pilot
299132,Air Traffic Controller,231112,,Air Traffic Controller
299133,Flight Instructor,231113,,Flying Instructor
299134,Helicopter Pilot,231114,,Helicopter Pilot
299199,Air Transport Professionals nec,231199,,Air Transport Professionals nec
299231,Specialist Police Officer,441311,,Detective
299231,Specialist Police Officer,441312,p,Police Officer
311131,Agricultural and Agritech Technician,311112,,Agricultural and Agritech Technician
311132,Animal Husbandry Technician,311113,,Animal Husbandry Technician
311133,Aquaculture or Fisheries Technician,311114,,Aquaculture or Fisheries Technician
311134,Biosecurity Officer,311313,,Biosecurity Officer
311135,Fisheries Officer,311311,,Fisheries Officer
311136,Irrigation Designer,311115,,Irrigation Designer
311137,Meat Inspector,311312,,Meat Inspector
311138,Primary Products Quality Assurance Officer,311314,,Primary Products Quality Assurance Officer
311199,Agricultural Technicians and Inspection Officers nec,311399,,Primary Products Assurance and Inspection Officers nec
311231,Anaesthetic Technician,311211,,Anaesthetic Technician
311232,Dental Technician,411213,,Dental Technician
311233,Medical Laboratory Technician,311213,,Medical Laboratory Technician
311234,Operating Theatre Technician,311214,,Operating Theatre Technician
311235,Respiratory Technician,311217,,Respiratory Technician
311299,Medical and Dental Technicians nec,311299,p,Medical Technicians nec
311331,Community Pharmacy Technician,311215,p,Pharmacy Technician
311332,Hospital Pharmacy Technician,311215,p,Pharmacy Technician
311431,Phlebotomist,311216,,Pathology Collector/Phlebotomist
311531,Chemical Technician,311411,,Chemistry Technician
311532,Earth Science Technician,311412,,Earth Science Technician
311532,Earth Science Technician,821915,p,Surveyor's Assistant
311533,Geospatial Technician,312116,p,Surveying or Spatial Science Technician
311534,Hydrographer,311415,,Hydrographer
311535,Life Science Technician,311413,p,Life Science Technician
311536,School Laboratory Technician,311414,,School Laboratory Technician
311599,Science Technicians nec,311499,,Science Technicians nec
312131,Architectural Technician,312914,p,Other Draftsperson
312132,Building Designer,312111,,Architectural Draftsperson
312133,Detailer Drafter,312199,p,"Architectural, Building and Surveying Technicians nec"
312134,Landscape Designer,232112,p,Landscape Architect
312135,Surveying Technician,312116,p,Surveying or Spatial Science Technician
312199,Building and Landscape Designers and Technicians nec,312199,p,"Architectural, Building and Surveying Technicians nec"
312231,Building Inspector,312113,p,Building Inspector
312232,Energy Assessor,312199,p,"Architectural, Building and Surveying Technicians nec"
312233,Plumbing Inspector,312115,,Plumbing Inspector
312234,Safety Inspector,312611,,Safety Inspector
312331,Construction Estimator,312114,,Construction Estimator
312431,Civil Construction Leading Hand,312112,p,Building Associate
312431,Civil Construction Leading Hand,721211,p,Earthmoving Plant Operator (General)
312432,Construction Site Supervisor,312112,p,Building Associate
313131,Civil Engineering Draftsperson,312211,,Civil Engineering Draftsperson
313132,Civil Engineering Technician,312212,,Civil Engineering Technician
313231,Electrical Engineering Draftsperson,312311,,Electrical Engineering Draftsperson
313232,Electrical Engineering Technician,312312,,Electrical Engineering Technician
313331,Maintenance Planner,312911,,Maintenance Planner
313431,Marine Engineer,231212,,Ship's Engineer
313432,Marine Pilot,231213,p,Ship's Master
313433,Marine Surveyor,231215,,Marine Surveyor
313434,Master Fisher,231211,,Master Fisher
313435,Ship's Master,231213,p,Ship's Master
313436,Ship's Officer,231214,,Ship's Officer
313499,"Marine Transport Masters, Officers and Technicians nec",231299,,Marine Transport Professionals nec
313531,Mining Supervisor,312913,,Mine Deputy
313931,Biomedical Technician,312999,p,Building and Engineering Technicians nec
313932,Electronic Engineering Technician,312412,,Electronic Engineering Technician
313933,Mechanical Engineering Draftsperson,312511,,Mechanical Engineering Draftsperson
313934,Mechanical Engineering Technician,312512,,Mechanical Engineering Technician
313935,Metallurgical or Materials Technician,312912,p,Metallurgical or Materials Technician
313936,Non-destructive Testing Technician,312912,p,Metallurgical or Materials Technician
313937,Other Draftsperson,312411,,Electronic Engineering Draftsperson
313937,Other Draftsperson,312914,p,Other Draftsperson
313999,Engineering Technicians nec,312999,p,Building and Engineering Technicians nec
314131,ICT Hardware Technician,313111,,Hardware Technician
314132,Radiocommunications Technician,313211,,Radiocommunications Technician
314133,Telecommunications Field Engineer,313212,,Telecommunications Field Engineer
314134,Telecommunications Network Designer,313213,,Telecommunications Network Planner
314135,Telecommunications Technical Officer or Technologist,313214,,Telecommunications Technical Officer or Technologist
314136,Web Administrator,313113,,Web Administrator
314199,ICT and Telecommunications Technicians nec,313199,,ICT Support Technicians nec
314231,ICT Customer Support Officer,313112,,ICT Customer Support Officer
321131,Chef,351311,p,Chef
322131,Baker,351111,,Baker
322231,Butcher or Smallgoods Maker,351211,,Butcher or Smallgoods Maker
322331,Cook,351411,,Cook
322431,Pastrycook,351112,,Pastrycook
331131,Metal Fabricator,322311,,Metal Fabricator
331132,Pressure Welder,322312,,Pressure Welder
331133,Welder (First Class),322313,,Welder (First Class) (Aus) / Welder (NZ)
331931,Blacksmith,322111,,Blacksmith
331932,Electroplater,322112,,Electroplater
331933,Farrier,322113,,Farrier
331934,Metal Casting Trades Worker,322114,,Metal Casting Trades Worker
331935,Metal Polisher,322115,,Metal Polisher
331936,Sheetmetal Worker,322211,,Sheetmetal Worker
332131,Aircraft Maintenance Technician (Avionics),323111,p,Aircraft Maintenance Engineer (Avionics)
332132,Aircraft Maintenance Technician (Mechanical),323112,p,Aircraft Maintenance Engineer (Mechanical)
332133,Aircraft Maintenance Technician (Structures),323113,,Aircraft Maintenance Engineer (Structures)
332134,Licensed Aircraft Maintenance Engineer,323111,p,Aircraft Maintenance Engineer (Avionics)
332134,Licensed Aircraft Maintenance Engineer,323112,p,Aircraft Maintenance Engineer (Mechanical)
332231,Fitter (General),323211,,Fitter (General)
332232,Fitter and Turner,323212,,Fitter and Turner
332233,Fitter-Welder,323213,,Fitter-Welder
332234,Metal Machinist (First Class),323214,,Metal Machinist (First Class)
332299,Metal Fitters and Machinists nec,323215,,"Textile, Clothing and Footwear Mechanic"
332299,Metal Fitters and Machinists nec,323299,p,Metal Fitters and Machinists nec
332331,Engineering Patternmaker,323411,,Engineering Patternmaker
332332,Engraver,323311,,Engraver
332333,Gunsmith,323312,,Gunsmith
332334,Locksmith,323313,,Locksmith
332335,Precision Instrument Maker and Repairer,323314,,Precision Instrument Maker and Repairer
332336,Saw Technician,323315,,Saw Doctor
332337,Toolmaker,323412,,Toolmaker
332338,Watch and Clock Maker and Repairer,323316,,Watch and Clock Maker and Repairer
341131,Dog Handler or Trainer,361111,,Dog Handler or Trainer
341132,Horse Trainer,361112,,Horse Trainer
341133,Track Rider,361116,,Track Rider
341134,Zookeeper,361114,,Zookeeper
341199,Animal Trainers and Zookeepers nec,361199,p,Animal Attendants and Trainers nec
341231,Veterinary Nurse,361311,,Veterinary Nurse
342131,Gardener (General),362611,,Gardener (General)
342231,Arborist,362511,,Arborist
342232,Tree Worker,362512,,Tree Worker
342331,Florist,362111,,Florist
342431,Irrigation Technician,362712,,Irrigation Technician
342432,Landscape Gardener,362711,,Landscape Gardener
342531,Sports Turf Manager,362312,,Sports Turf Manager
342532,Sports Turf Trades Worker,362313,,Sports Turf Trades Worker
342931,Nurseryperson,362411,,Nurseryperson
343131,Aquaculture Supervisor,363111,,Aquaculture Supervisor
343132,Fishing Leading Hand,363112,,Fishing Leading Hand
343133,Forestry Operations Supervisor,363113,,Forestry Operations Supervisor
343134,Horticultural Supervisor or Specialist,363114,,Horticultural Supervisor or Specialist
343135,Senior Broadacre Crop and Livestock Farm Worker,363115,,Senior Broadacre Crop and Livestock Farm Worker
343136,Senior Broadacre Crop Farm Worker,363116,,Senior Broadacre Crop Farm Worker
343137,Vineyard Supervisor,363117,,Vineyard Supervisor
343199,"Senior Aquaculture, Crop and Forestry Workers nec",363199,,"Senior Aquaculture, Crop and Forestry Workers nec"
343231,Senior Beef Cattle Station Worker,363211,,Senior Beef Cattle Station Worker
343232,Senior Cattle and Sheep Farm Worker,363212,,Senior Cattle and Sheep Farm Worker
343233,Senior Dairy Cattle Farm Worker,363213,,Senior Dairy Cattle Farm Worker
343234,Senior Horse Stable or Stud Worker,363299,p,Senior Livestock Farm Workers nec
343235,Senior Piggery Stockperson,363214,,Senior Piggery Stockperson
343236,Senior Sheep Farm Worker,363215,,Senior Sheep Farm Worker
343299,Senior Livestock Farm Workers nec,363299,p,Senior Livestock Farm Workers nec
343331,Shearer,363311,,Shearer
343332,Wool Classer,363312,,Wool Classer
351131,Automotive Technician (General),321211,p,Motor Mechanic (General)
351231,Automotive Electrician,321111,p,Automotive Electrician
351331,Panelbeater,324111,,Panelbeater
351431,Agricultural Mechanic,323299,p,Metal Fitters and Machinists nec
351432,Bicycle Technician,899911,,Bicycle Mechanic
351433,Diesel Technician,321212,p,Diesel Motor Mechanic
351434,Electric Vehicle Technician,321111,p,Automotive Electrician
351435,Marine Technician,321211,p,Motor Mechanic (General)
351435,Marine Technician,321212,p,Diesel Motor Mechanic
351435,Marine Technician,321214,p,Small Engine Mechanic
351436,Motorcycle Technician,321213,,Motorcycle Mechanic
351437,Small Engine Technician,321214,p,Small Engine Mechanic
351531,Vehicle Body Builder,324211,,Vehicle Body Builder
351532,Vehicle Trimmer,324212,,Vehicle Trimmer
351631,Vehicle Painter,324311,,Vehicle Painter
361131,Floor Finisher,332111,,Floor Finisher
361131,Floor Finisher,821211,p,Concreter
361231,Painter,332211,,Painter
362131,Glazier,333111,,Glazier
362231,Plasterer (Wall and Ceiling),333211,,Plasterer (Wall and Ceiling)
362232,Renderer (Solid Plaster),333212,,Renderer (Solid Plaster)
362331,Roof Tiler,333311,,Roof Tiler
362431,Wall and Floor Tiler,333411,,Wall and Floor Tiler
363131,Plumber (General),334116,,Plumber (General)
363231,Gasfitter,334114,p,Gasfitter
363331,Roof Plumber,334115,,Roof Plumber
363931,Drainer,334113,,Drainer
363932,Fire Protection Plumber,334117,,Fire Protection Plumber
363933,Mechanical Services Plumber,334112,,Airconditioning and Mechanical Services Plumber
369131,Cabinet Maker,394112,,Cabinet Maker
369931,Shopfitter,331211,p,Carpenter and Joiner
369932,Swimming Pool and Spa Builder,821412,p,Home Improvement Installer
369933,Waterproofer,821411,p,Building Insulation Installer
371131,Bricklayer,331111,,Bricklayer
371132,Stonemason,331112,,Stonemason
371231,Concreter,821211,p,Concreter
372131,Carpenter and Joiner,331211,p,Carpenter and Joiner
372132,Carpenter,331212,,Carpenter
372133,Joiner,331213,,Joiner
381131,Electrical Distribution Trades Worker,342211,,Electrical Linesworker / Electrical Line Mechanic
381131,Electrical Distribution Trades Worker,342212,,Technical Cable Jointer
381231,Electrician (General),341111,p,Electrician (General)
381231,Electrician (General),341112,,Electrician (Special Class)
381232,Electrical Fitter,341111,p,Electrician (General)
381233,Industrial Electrician,341111,p,Electrician (General)
381234,Lift Mechanic,341113,,Lift Mechanic
382131,Air Conditioning and Refrigeration Technician,342111,,Airconditioning and Refrigeration Mechanic
382231,Communications Operator,342312,,Communications Operator
382232,Electronic Equipment Trades Worker,342313,,Electronic Equipment Trades Worker
382233,Electronic Instrument Technician,342314,,Electronic Instrument Trades Worker (General)
382233,Electronic Instrument Technician,342315,,Electronic Instrument Trades Worker (Special Class)
382234,Office Equipment Technician,342311,,Business Machine Mechanic
382331,Cabler (Data and Telecommunications),342411,,Cabler (Data and Telecommunications)
382332,Telecommunications Cable Technician,342412,,Telecommunications Cable Jointer
382333,Telecommunications Linesworker,342413,,Telecommunications Linesworker / Telecommunications Line Mechanic
382334,Telecommunications Technician,342414,,Telecommunications Technician
391131,Gallery or Museum Technician,399311,,Gallery or Museum Technician
391132,Library Technician,399312,,Library Technician
391231,Audio Engineer,399516,,Sound Technician
391232,Broadcast Technician,399511,,Broadcast Transmitter Operator
391233,"Camera Operator (Film, Television or Video)",399512,,"Camera Operator (Film, Television or Video)"
391234,Lighting Technician,399513,,Light Technician
391299,Performing Arts Technicians nec,399517,,Television Equipment Operator
391299,Performing Arts Technicians nec,399599,,Performing Arts Technicians nec
391331,Photographer,211311,,Photographer
391431,Graphic Pre-press Operator,392211,,Graphic Pre-press Trades Worker
391432,Print Finisher,392111,,Print Finisher
391432,Print Finisher,899512,,Printing Table Worker
391433,Printing Machinist,392311,,Printing Machinist
391433,Printing Machinist,392312,,Small Offset Printer
391433,Printing Machinist,899511,,Printer's Assistant
391434,Screen Printer,392112,,Screen Printer
391531,Signwriter,399611,,Signwriter
391931,Interior Decorator,399912,,Interior Decorator
391932,Jeweller,399411,,Jeweller
391933,Musical Instrument Maker or Repairer,399515,,Musical Instrument Maker or Repairer
392131,Barber,391111,p,Hairdresser
392132,Hairdresser,391111,p,Hairdresser
399131,Chemical Plant Operator,399211,,Chemical Plant Operator
399132,Gas or Petroleum Production Technician,399212,,Gas or Petroleum Operator
399133,Power Generation Plant Operator,399213,,Power Generation Plant Operator
399231,Driller,712211,,Driller
399331,Pest Control Technician,843411,,Pest Control Technician
399431,Apparel Cutter,393211,,Apparel Cutter
399432,Canvas Goods Fabricator,393111,,Canvas Goods Fabricator
399433,Dressmaker or Tailor,393213,,Dressmaker or Tailor
399433,Dressmaker or Tailor,393299,p,Clothing Trades Workers nec
399434,Garment Technician,393212,,Clothing Patternmaker
399434,Garment Technician,393299,p,Clothing Trades Workers nec
399435,Leather Goods Maker,393112,,Leather Goods Maker
399436,Sail Maker,393113,,Sail Maker
399437,Shoemaker,393114,,Shoemaker
399438,Upholsterer,393311,,Upholsterer
399531,Furniture Finisher,394211,,Furniture Finisher
399532,Furniture Maker,394113,,Furniture Maker
399533,Picture Framer,394212,,Picture Framer
399534,Wood Machinist,394213,,Wood Machinist
399534,Wood Machinist,394214,,Wood Turner
399599,Wood Machinists and Other Wood Trades Workers nec,394299,,Wood Machinists and Other Wood Trades Workers nec
399931,Boat Builder and Repairer,399111,,Boat Builder and Repairer
399931,Boat Builder and Repairer,399999,p,Technicians and Trades Workers nec
399932,Diver,399911,,Diver
399933,Fire Protection Equipment Technician,399918,,Fire Protection Equipment Technician
399934,Gas Network Technician,334114,p,Gasfitter
399935,Optical Mechanic,399914,,Optical Mechanic
399936,Plastics Technician,399916,,Plastics Technician
399937,Railway Network Controller,712918,,Train Controller
399938,Shipwright,399112,,Shipwright
399999,Technicians and Trades Workers nec,399999,p,Technicians and Trades Workers nec
411131,Child Protection Practitioner,272613,p,Welfare Worker
411132,Family Violence Practitioner,272613,p,Welfare Worker
411231,Community Development Officer,411711,p,Community Worker
411232,Community Support Worker,411512,,Kaiāwhina (Hauora) (Māori Health Assistant)
411232,Community Support Worker,411711,p,Community Worker
411331,Diversional Therapist,411311,p,Diversional Therapist
411332,Lifestyle Coordinator,411311,p,Diversional Therapist
411333,Lifestyle Officer,411311,p,Diversional Therapist
411431,Employment Consultant,223112,p,Recruitment Consultant
411431,Employment Consultant,411712,p,Disabilities Services Officer
411531,Interpreter,272412,,Interpreter
411532,Translator,272413,,Translator
411631,Community Corrections Officer,411714,,Parole or Probation Officer
411632,Family Support Worker,411713,,Family Support Worker
411633,Financial Counsellor (Community),272613,p,Welfare Worker
411634,Housing Officer,411711,p,Community Worker
411635,Refuge Worker,423413,,Refuge Worker
411636,Welfare Worker,272613,p,Welfare Worker
411731,Residential Youth Worker,411715,p,Residential Care Officer
411731,Residential Youth Worker,423411,,Child or Youth Residential Care Assistant
411732,Youth Justice Worker,411716,p,Youth Worker
411733,Youth Worker,411716,p,Youth Worker
411931,Recreation Officer,272612,,Recreation Officer/Recreation Coordinator
411932,Sports Development Officer,452321,,Sports Development Officer
411933,Volunteer Coordinator,411711,p,Community Worker
421131,Aged Care Coordinator,411711,p,Community Worker
421132,Aged Care Team Leader,423111,p,Aged or Disabled Carer
421231,Community Aged Care Support Worker,423111,p,Aged or Disabled Carer
421331,Residential Aged Care Worker,423313,p,Personal Care Assistant
422131,Disability Services Officer,411712,p,Disabilities Services Officer
422132,Residential Care Officer,411715,p,Residential Care Officer
422231,Disability Support Worker,423111,p,Aged or Disabled Carer
422232,Disability Team Leader,423111,p,Aged or Disabled Carer
431131,Early Childhood Education Room Leader,421111,p,Child Care Worker
431132,Early Childhood Educator,421111,p,Child Care Worker
431132,Early Childhood Educator,422115,,Preschool Aide
431231,Family Day Care Coordinator,411711,p,Community Worker
431231,Family Day Care Coordinator,421112,p,Family Day Care Worker
431232,Family Day Care Educator,421112,p,Family Day Care Worker
431331,Nanny,421113,,Nanny
431431,Out of School Hours Care Educator,421114,,Out of School Hours Care Worker
432131,Inclusion Support Assistant,422112,,Integration Aide
432231,Teaching Assistant,422113,,Kaiāwhina Kohanga Reo (Māori Language Nest Assistant)
432231,Teaching Assistant,422114,,Kaiāwhina Kura Kaupapa Māori (Māori-medium School Assistant)
432231,Teaching Assistant,422116,,Teachers' Aide
432931,Aboriginal and Torres Strait Islander Education Officer,422111,,Aboriginal and Torres Strait Islander Education Worker
432932,Boarding Supervisor,423412,,Hostel Parent
441131,Enrolled Nurse,411411,,Enrolled Nurse
441131,Enrolled Nurse,411412,,Mothercraft Nurse
441231,Massage Therapist,411611,p,Massage Therapist
441232,Myotherapist,411611,p,Massage Therapist
441233,Remedial Massage Therapist,411611,p,Massage Therapist
441331,Mental Health Worker,272613,p,Welfare Worker
441931,Aboriginal and Torres Strait Islander Health Practitioner,411511,p,Aboriginal and Torres Strait Islander Health Worker
441932,Aboriginal and Torres Strait Islander Health Worker,411511,p,Aboriginal and Torres Strait Islander Health Worker
441933,Audiometrist,311299,p,Medical Technicians nec
442131,Allied Health Assistant,423314,,Therapy Aide
442231,Assistant in Nursing,423312,,Nursing Support Worker
442331,Dental Assistant,423211,,Dental Assistant
442431,Optical Dispenser,399913,,Optical Dispenser / Dispensing Optician
442531,Patient Care Assistant,423313,p,Personal Care Assistant
442532,Patient Services Assistant,423311,,Hospital Orderly
442931,Patient Transport Officer,411111,p,Ambulance Officer
442999,Patient and Health Care Assistants nec,451899,p,Personal Service Workers nec
451131,Defence Force Member - Other Ranks,441111,,Defence Force Member - Other Ranks
451231,Emergency Services Officer,441211,,Emergency Service Worker
451232,Firefighter,441212,,Fire Fighter
451331,General Duties Police Officer,441312,p,Police Officer
451931,Border Enforcement Operations Officer,599511,,Customs Officer
451931,Border Enforcement Operations Officer,599512,p,Immigration Officer
452131,Correctional Officer,442111,,Prison Officer
452231,"Alarm, Security or Surveillance Monitor",442211,,"Alarm, Security or Surveillance Monitor"
452232,Cash In Transit Officer,442212,,Armoured Car Escort
452233,Crowd Controller,442213,,Crowd Controller
452234,Private Investigator,442214,,Private Investigator
452235,Protective Services Officer,442217,p,Security Officer
452236,Retail Loss Prevention Officer,442215,,Retail Loss Prevention Officer
452237,Security Consultant,442216,,Security Consultant
452237,Security Consultant,442299,,Security Officers and Guards nec
452238,Security Officer,442217,p,Security Officer
452241,Security Screening Officer,442217,p,Security Officer
461131,Beauty Therapist,451111,p,Beauty Therapist
461132,Dermal Therapist,451111,p,Beauty Therapist
461231,Body Artist,451814,,Body Artist
461232,Make-up Artist,399514,,Make Up Artist
461331,Civil Celebrant,451811,,Civil Celebrant
461332,Funeral Director,451311,,Funeral Director
461333,Funeral Worker,451399,,Funeral Workers nec
461333,Funeral Worker,731199,p,Automobile Drivers nec
461431,Dog Walker,451899,p,Personal Service Workers nec
461432,Domestic Animal Attendant,361115,,Kennel Hand
461432,Domestic Animal Attendant,361199,p,Animal Attendants and Trainers nec
461433,Pet Groomer,361113,,Pet Groomer
461499,Domestic Animal Care Workers nec,361199,p,Animal Attendants and Trainers nec
461531,Driving Instructor,451211,,Driving Instructor
461631,Gallery or Museum Guide,451411,,Gallery or Museum Guide
461632,Tour Guide,451412,,Tour Guide
461633,Tourist Information Officer,451611,,Tourist Information Officer
461731,Flight Attendant,451711,,Flight Attendant
461799,Travel Attendants nec,451799,,Travel Attendants nec
461831,Travel Consultant,451612,,Travel Consultant
461931,Airline Customer Support Worker,639411,p,Ticket Seller
461932,Fashion Stylist,639511,p,Visual Merchandiser
461933,First Aid Trainer,451815,,First Aid Trainer
461934,Hair or Beauty Salon Assistant,451812,,Hair or Beauty Salon Assistant
461935,Natural Remedy Consultant,451511,,Natural Remedy Consultant
461936,Photographer's Assistant,399915,,Photographer's Assistant
461937,Religious Assistant,451816,,Religious Assistant
461938,Sex Worker or Escort,451813,,Sex Worker or Escort
461941,Weight Loss Consultant,451512,,Weight Loss Consultant
461999,Personal Service and Travel Workers nec,451899,p,Personal Service Workers nec
462131,Fitness Instructor (General),452111,p,Fitness Instructor
462231,Pilates Instructor,452111,p,Fitness Instructor
462232,Yoga Teacher,452111,p,Fitness Instructor
462331,Lifeguard,452414,,Lifeguard
462399,Sport and Recreation Safety Patrollers nec,452499,p,Sportspersons nec
462431,Basketball Coach,452317,p,Other Sports Coach or Instructor
462432,Diving Instructor (Open Water),452311,,Diving Instructor (Open Water)
462433,Football Coach,452317,p,Other Sports Coach or Instructor
462434,Gymnastics Coach or Instructor,452312,,Gymnastics Coach or Instructor
462435,Horse Riding Coach or Instructor,452313,,Horse Riding Coach or Instructor
462436,Martial Arts Instructor,452317,p,Other Sports Coach or Instructor
462437,Netball Coach,452317,p,Other Sports Coach or Instructor
462438,Outdoor Adventure Leader or Guide,452211,,Bungy Jump Master
462438,Outdoor Adventure Leader or Guide,452212,,Fishing Guide
462438,Outdoor Adventure Leader or Guide,452213,,Hunting Guide
462438,Outdoor Adventure Leader or Guide,452214,,Mountain or Glacier Guide
462438,Outdoor Adventure Leader or Guide,452215,,Outdoor Adventure Instructor
462438,Outdoor Adventure Leader or Guide,452216,,Trekking Guide
462438,Outdoor Adventure Leader or Guide,452217,,Whitewater Rafting Guide
462438,Outdoor Adventure Leader or Guide,452299,,Outdoor Adventure Guides nec
462441,Snowsport Instructor,452314,,Snowsport Instructor
462442,Swimming Instructor or Coach,452315,,Swimming Coach or Instructor
462443,Tennis Coach,452316,,Tennis Coach
462499,Sports Coaches and Outdoor Adventure Guides nec,452317,p,Other Sports Coach or Instructor
462531,Dog and Horse Racing Official,452318,,Dog and Horse Racing Official
462532,Sports Umpire,452322,,Sports Umpire
462599,Sports Officials and Umpires nec,452323,,Other Sports Official
462631,Footballer,452411,,Footballer
462632,Golfer,452412,,Golfer
462633,Jockey,452413,,Jockey
462699,Sportspersons nec,452499,p,Sportspersons nec
471131,Bar Attendant,431111,p,Bar Attendant
471231,Barista,431112,,Barista
471331,Cafe Worker,431211,p,Cafe Worker
471431,Gaming Attendant,631111,p,Checkout Operator
471431,Gaming Attendant,631112,p,Office Cashier
471431,Gaming Attendant,899711,p,Vending Machine Attendant
471432,Gaming Dealer or Croupier,431311,p,Gaming Worker
471531,Bar Supervisor,431111,p,Bar Attendant
471532,Cafe or Restaurant Supervisor,431211,p,Cafe Worker
471532,Cafe or Restaurant Supervisor,431511,p,Waiter
471532,Cafe or Restaurant Supervisor,621511,p,Retail Supervisor
471533,Front Office Supervisor (Accommodation),431411,p,Hotel Service Manager
471534,Gaming Supervisor,431311,p,Gaming Worker
471535,Housekeeping Supervisor,431411,p,Hotel Service Manager
471631,Sommelier,431511,p,Waiter
471632,Waiter,431511,p,Waiter
471931,Bar Useful,431911,,Bar Useful or Busser
471932,Doorperson or Porter,431912,,Doorperson or Luggage Porter
471999,Hospitality Workers nec,431999,,Hospitality Workers nec
511131,Contract Administrator,511111,,Contract Administrator
511231,Program or Project Administrator,511112,,Program or Project Administrator
521131,Conveyancer,599111,,Conveyancer
521231,Clerk of Court,599211,,Clerk of Court
