month,state_name,region_code,region_name,region_level,anzsco2_code,anzsco2_name,vacancy_3m_moving_average
2019-02,SA,407,South Australia - South East,SA4,26,ICT Professionals,2
2019-02,WA,5GPER,Greater Perth,GCCSA,26,ICT Professionals,592
2019-02,WA,501,Bunbury,SA4,26,ICT Professionals,2
2019-02,WA,510,Western Australia - Outback (North),SA4,26,ICT Professionals,4
2019-02,WA,511,Western Australia - Outback (South),SA4,26,ICT Professionals,1
2019-02,WA,509,Western Australia - Wheat Belt,SA4,26,ICT Professionals,0
2019-02,TAS,6GHOB,Greater Hobart,GCCSA,26,ICT Professionals,35
2019-02,TAS,602,Launceston and North East,SA4,26,ICT Professionals,12
2019-02,TAS,603,South East,SA4,26,ICT Professionals,1
2019-02,TAS,604,West and North West,SA4,26,ICT Professionals,0
2019-02,NT,7GDAR,Greater Darwin,GCCSA,26,ICT Professionals,29
2019-02,NT,702,Northern Territory - Outback,SA4,26,ICT Professionals,2
2019-02,ACT,8ACTE,Australian Capital Territory,GCCSA,26,ICT Professionals,759
2019-03,NSW,1GSYD,Greater Sydney,GCCSA,26,ICT Professionals,4738
2019-03,NSW,101,Capital Region,SA4,26,ICT Professionals,8
2019-03,NSW,103,Central West,SA4,26,ICT Professionals,5
2019-03,NSW,104,Coffs Harbour - Grafton,SA4,26,ICT Professionals,4
2019-03,NSW,105,Far West and Orana,SA4,26,ICT Professionals,3
2019-03,NSW,106,Hunter Valley exc Newcastle,SA4,26,ICT Professionals,41
2019-03,NSW,107,Illawarra,SA4,26,ICT Professionals,22
2019-03,NSW,108,Mid North Coast,SA4,26,ICT Professionals,18
2019-03,NSW,109,Murray,SA4,26,ICT Professionals,6
2019-03,NSW,110,New England and North West,SA4,26,ICT Professionals,5
2019-03,NSW,111,Newcastle and Lake Macquarie,SA4,26,ICT Professionals,56
2019-03,NSW,112,Richmond - Tweed,SA4,26,ICT Professionals,8
2019-03,NSW,113,Riverina,SA4,26,ICT Professionals,3
2019-03,NSW,114,Southern Highlands and Shoalhaven,SA4,26,ICT Professionals,9
2019-03,VIC,2GMEL,Greater Melbourne,GCCSA,26,ICT Professionals,3257
2019-03,VIC,201,Ballarat,SA4,26,ICT Professionals,7
2019-03,VIC,202,Bendigo,SA4,26,ICT Professionals,5
2019-03,VIC,203,Geelong,SA4,26,ICT Professionals,27
2019-03,VIC,204,Hume,SA4,26,ICT Professionals,2
2019-03,VIC,205,Latrobe - Gippsland,SA4,26,ICT Professionals,6
2019-03,VIC,215,North West,SA4,26,ICT Professionals,3
2019-03,VIC,216,Shepparton,SA4,26,ICT Professionals,1
2019-03,VIC,217,Warrnambool and South West,SA4,26,ICT Professionals,11
2019-03,QLD,3GBRI,Greater Brisbane,GCCSA,26,ICT Professionals,1543
2019-03,QLD,306,Cairns,SA4,26,ICT Professionals,13
2019-03,QLD,308,Central Queensland,SA4,26,ICT Professionals,15
2019-03,QLD,307,Darling Downs - Maranoa,SA4,26,ICT Professionals,4
2019-03,QLD,309,Gold Coast,SA4,26,ICT Professionals,89
2019-03,QLD,312,Mackay - Isaac - Whitsunday,SA4,26,ICT Professionals,14
2019-03,QLD,315,Queensland - Outback,SA4,26,ICT Professionals,5
2019-03,QLD,316,Sunshine Coast,SA4,26,ICT Professionals,32
2019-03,QLD,317,Toowoomba,SA4,26,ICT Professionals,4
2019-03,QLD,318,Townsville,SA4,26,ICT Professionals,10
2019-03,QLD,319,Wide Bay,SA4,26,ICT Professionals,5
2019-03,SA,4GADE,Greater Adelaide,GCCSA,26,ICT Professionals,433
2019-03,SA,405,Barossa - Yorke - Mid North,SA4,26,ICT Professionals,1
2019-03,SA,406,South Australia - Outback,SA4,26,ICT Professionals,1
2019-03,SA,407,South Australia - South East,SA4,26,ICT Professionals,1
2019-03,WA,5GPER,Greater Perth,GCCSA,26,ICT Professionals,698
2019-03,WA,501,Bunbury,SA4,26,ICT Professionals,2
2019-03,WA,510,Western Australia - Outback (North),SA4,26,ICT Professionals,5
2019-03,WA,511,Western Australia - Outback (South),SA4,26,ICT Professionals,2
2019-03,WA,509,Western Australia - Wheat Belt,SA4,26,ICT Professionals,1
2019-03,TAS,6GHOB,Greater Hobart,GCCSA,26,ICT Professionals,42
2019-03,TAS,602,Launceston and North East,SA4,26,ICT Professionals,11
2019-03,TAS,603,South East,SA4,26,ICT Professionals,1
2019-03,TAS,604,West and North West,SA4,26,ICT Professionals,1
2019-03,NT,7GDAR,Greater Darwin,GCCSA,26,ICT Professionals,32
2019-03,NT,702,Northern Territory - Outback,SA4,26,ICT Professionals,3
2019-03,ACT,8ACTE,Australian Capital Territory,GCCSA,26,ICT Professionals,910
2019-04,NSW,1GSYD,Greater Sydney,GCCSA,26,ICT Professionals,4511
2019-04,NSW,101,Capital Region,SA4,26,ICT Professionals,6
2019-04,NSW,103,Central West,SA4,26,ICT Professionals,5
2019-04,NSW,104,Coffs Harbour - Grafton,SA4,26,ICT Professionals,4
2019-04,NSW,105,Far West and Orana,SA4,26,ICT Professionals,2
2019-04,NSW,106,Hunter Valley exc Newcastle,SA4,26,ICT Professionals,43
2019-04,NSW,107,Illawarra,SA4,26,ICT Professionals,17
2019-04,NSW,108,Mid North Coast,SA4,26,ICT Professionals,17
2019-04,NSW,109,Murray,SA4,26,ICT Professionals,7
2019-04,NSW,110,New England and North West,SA4,26,ICT Professionals,6
2019-04,NSW,111,Newcastle and Lake Macquarie,SA4,26,ICT Professionals,58
2019-04,NSW,112,Richmond - Tweed,SA4,26,ICT Professionals,8
2019-04,NSW,113,Riverina,SA4,26,ICT Professionals,4
2019-04,NSW,114,Southern Highlands and Shoalhaven,SA4,26,ICT Professionals,7
2019-04,VIC,2GMEL,Greater Melbourne,GCCSA,26,ICT Professionals,3169
2019-04,VIC,201,Ballarat,SA4,26,ICT Professionals,7
2019-04,VIC,202,Bendigo,SA4,26,ICT Professionals,5
2019-04,VIC,203,Geelong,SA4,26,ICT Professionals,28
2019-04,VIC,204,Hume,SA4,26,ICT Professionals,3
2019-04,VIC,205,Latrobe - Gippsland,SA4,26,ICT Professionals,7
2019-04,VIC,215,North West,SA4,26,ICT Professionals,3
2019-04,VIC,216,Shepparton,SA4,26,ICT Professionals,1
2019-04,VIC,217,Warrnambool and South West,SA4,26,ICT Professionals,11
2019-04,QLD,3GBRI,Greater Brisbane,GCCSA,26,ICT Professionals,1525
2019-04,QLD,306,Cairns,SA4,26,ICT Professionals,12
2019-04,QLD,308,Central Queensland,SA4,26,ICT Professionals,16
2019-04,QLD,307,Darling Downs - Maranoa,SA4,26,ICT Professionals,4
2019-04,QLD,309,Gold Coast,SA4,26,ICT Professionals,93
2019-04,QLD,312,Mackay - Isaac - Whitsunday,SA4,26,ICT Professionals,12
2019-04,QLD,315,Queensland - Outback,SA4,26,ICT Professionals,4
2019-04,QLD,316,Sunshine Coast,SA4,26,ICT Professionals,29
2019-04,QLD,317,Toowoomba,SA4,26,ICT Professionals,4
2019-04,QLD,318,Townsville,SA4,26,ICT Professionals,13
2019-04,QLD,319,Wide Bay,SA4,26,ICT Professionals,6
2019-04,SA,4GADE,Greater Adelaide,GCCSA,26,ICT Professionals,426
2019-04,SA,405,Barossa - Yorke - Mid North,SA4,26,ICT Professionals,1
2019-04,SA,406,South Australia - Outback,SA4,26,ICT Professionals,0
2019-04,SA,407,South Australia - South East,SA4,26,ICT Professionals,1
2019-04,WA,5GPER,Greater Perth,GCCSA,26,ICT Professionals,679
2019-04,WA,501,Bunbury,SA4,26,ICT Professionals,2
2019-04,WA,510,Western Australia - Outback (North),SA4,26,ICT Professionals,5
2019-04,WA,511,Western Australia - Outback (South),SA4,26,ICT Professionals,3
2019-04,WA,509,Western Australia - Wheat Belt,SA4,26,ICT Professionals,2
2019-04,TAS,6GHOB,Greater Hobart,GCCSA,26,ICT Professionals,40
2019-04,TAS,602,Launceston and North East,SA4,26,ICT Professionals,9
2019-04,TAS,603,South East,SA4,26,ICT Professionals,1
2019-04,TAS,604,West and North West,SA4,26,ICT Professionals,1
2019-04,NT,7GDAR,Greater Darwin,GCCSA,26,ICT Professionals,28
2019-04,NT,702,Northern Territory - Outback,SA4,26,ICT Professionals,3
2019-04,ACT,8ACTE,Australian Capital Territory,GCCSA,26,ICT Professionals,937
2019-05,NSW,1GSYD,Greater Sydney,GCCSA,26,ICT Professionals,4590
2019-05,NSW,101,Capital Region,SA4,26,ICT Professionals,6
2019-05,NSW,103,Central West,SA4,26,ICT Professionals,4
2019-05,NSW,104,Coffs Harbour - Grafton,SA4,26,ICT Professionals,5
2019-05,NSW,105,Far West and Orana,SA4,26,ICT Professionals,2
2019-05,NSW,106,Hunter Valley exc Newcastle,SA4,26,ICT Professionals,42
2019-05,NSW,107,Illawarra,SA4,26,ICT Professionals,14
2019-05,NSW,108,Mid North Coast,SA4,26,ICT Professionals,16
2019-05,NSW,109,Murray,SA4,26,ICT Professionals,8
2019-05,NSW,110,New England and North West,SA4,26,ICT Professionals,5
2019-05,NSW,111,Newcastle and Lake Macquarie,SA4,26,ICT Professionals,59
2019-05,NSW,112,Richmond - Tweed,SA4,26,ICT Professionals,8
2019-05,NSW,113,Riverina,SA4,26,ICT Professionals,5
2019-05,NSW,114,Southern Highlands and Shoalhaven,SA4,26,ICT Professionals,6
2019-05,VIC,2GMEL,Greater Melbourne,GCCSA,26,ICT Professionals,3259
2019-05,VIC,201,Ballarat,SA4,26,ICT Professionals,8
2019-05,VIC,202,Bendigo,SA4,26,ICT Professionals,3
2019-05,VIC,203,Geelong,SA4,26,ICT Professionals,31
2019-05,VIC,204,Hume,SA4,26,ICT Professionals,3
2019-05,VIC,205,Latrobe - Gippsland,SA4,26,ICT Professionals,7
2019-05,VIC,215,North West,SA4,26,ICT Professionals,1
2019-05,VIC,216,Shepparton,SA4,26,ICT Professionals,1
2019-05,VIC,217,Warrnambool and South West,SA4,26,ICT Professionals,11
2019-05,QLD,3GBRI,Greater Brisbane,GCCSA,26,ICT Professionals,1547
2019-05,QLD,306,Cairns,SA4,26,ICT Professionals,10
2019-05,QLD,308,Central Queensland,SA4,26,ICT Professionals,14
2019-05,QLD,307,Darling Downs - Maranoa,SA4,26,ICT Professionals,4
2019-05,QLD,309,Gold Coast,SA4,26,ICT Professionals,95
2019-05,QLD,312,Mackay - Isaac - Whitsunday,SA4,26,ICT Professionals,9
2019-05,QLD,315,Queensland - Outback,SA4,26,ICT Professionals,3
2019-05,QLD,316,Sunshine Coast,SA4,26,ICT Professionals,28
2019-05,QLD,317,Toowoomba,SA4,26,ICT Professionals,4
2019-05,QLD,318,Townsville,SA4,26,ICT Professionals,14
2019-05,QLD,319,Wide Bay,SA4,26,ICT Professionals,5
2019-05,SA,4GADE,Greater Adelaide,GCCSA,26,ICT Professionals,428
2019-05,SA,405,Barossa - Yorke - Mid North,SA4,26,ICT Professionals,1
2019-05,SA,406,South Australia - Outback,SA4,26,ICT Professionals,1
2019-05,SA,407,South Australia - South East,SA4,26,ICT Professionals,0
2019-05,WA,5GPER,Greater Perth,GCCSA,26,ICT Professionals,704
2019-05,WA,501,Bunbury,SA4,26,ICT Professionals,1
2019-05,WA,510,Western Australia - Outback (North),SA4,26,ICT Professionals,8
2019-05,WA,511,Western Australia - Outback (South),SA4,26,ICT Professionals,4
2019-05,WA,509,Western Australia - Wheat Belt,SA4,26,ICT Professionals,2
2019-05,TAS,6GHOB,Greater Hobart,GCCSA,26,ICT Professionals,41
2019-05,TAS,602,Launceston and North East,SA4,26,ICT Professionals,7
2019-05,TAS,603,South East,SA4,26,ICT Professionals,0
2019-05,TAS,604,West and North West,SA4,26,ICT Professionals,1
2019-05,NT,7GDAR,Greater Darwin,GCCSA,26,ICT Professionals,29
2019-05,NT,702,Northern Territory - Outback,SA4,26,ICT Professionals,3
2019-05,ACT,8ACTE,Australian Capital Territory,GCCSA,26,ICT Professionals,1035
2019-06,NSW,1GSYD,Greater Sydney,GCCSA,26,ICT Professionals,4389
2019-06,NSW,101,Capital Region,SA4,26,ICT Professionals,6
2019-06,NSW,103,Central West,SA4,26,ICT Professionals,4
2019-06,NSW,104,Coffs Harbour - Grafton,SA4,26,ICT Professionals,5
2019-06,NSW,105,Far West and Orana,SA4,26,ICT Professionals,3
2019-06,NSW,106,Hunter Valley exc Newcastle,SA4,26,ICT Professionals,38
2019-06,NSW,107,Illawarra,SA4,26,ICT Professionals,13
2019-06,NSW,108,Mid North Coast,SA4,26,ICT Professionals,12
2019-06,NSW,109,Murray,SA4,26,ICT Professionals,12
2019-06,NSW,110,New England and North West,SA4,26,ICT Professionals,5
2019-06,NSW,111,Newcastle and Lake Macquarie,SA4,26,ICT Professionals,52
2019-06,NSW,112,Richmond - Tweed,SA4,26,ICT Professionals,7
2019-06,NSW,113,Riverina,SA4,26,ICT Professionals,5
2019-06,NSW,114,Southern Highlands and Shoalhaven,SA4,26,ICT Professionals,5
2019-06,VIC,2GMEL,Greater Melbourne,GCCSA,26,ICT Professionals,3158
2019-06,VIC,201,Ballarat,SA4,26,ICT Professionals,9
2019-06,VIC,202,Bendigo,SA4,26,ICT Professionals,3
2019-06,VIC,203,Geelong,SA4,26,ICT Professionals,28
2019-06,VIC,204,Hume,SA4,26,ICT Professionals,4
2019-06,VIC,205,Latrobe - Gippsland,SA4,26,ICT Professionals,8
2019-06,VIC,215,North West,SA4,26,ICT Professionals,2
2019-06,VIC,216,Shepparton,SA4,26,ICT Professionals,2
2019-06,VIC,217,Warrnambool and South West,SA4,26,ICT Professionals,10
2019-06,QLD,3GBRI,Greater Brisbane,GCCSA,26,ICT Professionals,1428
2019-06,QLD,306,Cairns,SA4,26,ICT Professionals,5
2019-06,QLD,308,Central Queensland,SA4,26,ICT Professionals,9
2019-06,QLD,307,Darling Downs - Maranoa,SA4,26,ICT Professionals,4
2019-06,QLD,309,Gold Coast,SA4,26,ICT Professionals,81
2019-06,QLD,312,Mackay - Isaac - Whitsunday,SA4,26,ICT Professionals,8
2019-06,QLD,315,Queensland - Outback,SA4,26,ICT Professionals,2
2019-06,QLD,316,Sunshine Coast,SA4,26,ICT Professionals,23
2019-06,QLD,317,Toowoomba,SA4,26,ICT Professionals,4
2019-06,QLD,318,Townsville,SA4,26,ICT Professionals,10
2019-06,QLD,319,Wide Bay,SA4,26,ICT Professionals,5
2019-06,SA,4GADE,Greater Adelaide,GCCSA,26,ICT Professionals,387
2019-06,SA,405,Barossa - Yorke - Mid North,SA4,26,ICT Professionals,0
2019-06,SA,406,South Australia - Outback,SA4,26,ICT Professionals,1
2019-06,SA,407,South Australia - South East,SA4,26,ICT Professionals,1
2019-06,WA,5GPER,Greater Perth,GCCSA,26,ICT Professionals,660
2019-06,WA,501,Bunbury,SA4,26,ICT Professionals,0
2019-06,WA,510,Western Australia - Outback (North),SA4,26,ICT Professionals,7
2019-06,WA,511,Western Australia - Outback (South),SA4,26,ICT Professionals,4
2019-06,WA,509,Western Australia - Wheat Belt,SA4,26,ICT Professionals,2
2019-06,TAS,6GHOB,Greater Hobart,GCCSA,26,ICT Professionals,31
2019-06,TAS,602,Launceston and North East,SA4,26,ICT Professionals,4
2019-06,TAS,603,South East,SA4,26,ICT Professionals,0
2019-06,TAS,604,West and North West,SA4,26,ICT Professionals,0
2019-06,NT,7GDAR,Greater Darwin,GCCSA,26,ICT Professionals,26
2019-06,NT,702,Northern Territory - Outback,SA4,26,ICT Professionals,2
2019-06,ACT,8ACTE,Australian Capital Territory,GCCSA,26,ICT Professionals,939
2019-07,NSW,1GSYD,Greater Sydney,GCCSA,26,ICT Professionals,4535
2019-07,NSW,101,Capital Region,SA4,26,ICT Professionals,8
2019-07,NSW,103,Central West,SA4,26,ICT Professionals,4
2019-07,NSW,104,Coffs Harbour - Grafton,SA4,26,ICT Professionals,4
2019-07,NSW,105,Far West and Orana,SA4,26,ICT Professionals,3
2019-07,NSW,106,Hunter Valley exc Newcastle,SA4,26,ICT Professionals,39
2019-07,NSW,107,Illawarra,SA4,26,ICT Professionals,16
2019-07,NSW,108,Mid North Coast,SA4,26,ICT Professionals,11
2019-07,NSW,109,Murray,SA4,26,ICT Professionals,10
2019-07,NSW,110,New England and North West,SA4,26,ICT Professionals,4
2019-07,NSW,111,Newcastle and Lake Macquarie,SA4,26,ICT Professionals,54
2019-07,NSW,112,Richmond - Tweed,SA4,26,ICT Professionals,10
2019-07,NSW,113,Riverina,SA4,26,ICT Professionals,3
2019-07,NSW,114,Southern Highlands and Shoalhaven,SA4,26,ICT Professionals,6
2019-07,VIC,2GMEL,Greater Melbourne,GCCSA,26,ICT Professionals,3242
2019-07,VIC,201,Ballarat,SA4,26,ICT Professionals,9
2019-07,VIC,202,Bendigo,SA4,26,ICT Professionals,4
2019-07,VIC,203,Geelong,SA4,26,ICT Professionals,27
2019-07,VIC,204,Hume,SA4,26,ICT Professionals,3
2019-07,VIC,205,Latrobe - Gippsland,SA4,26,ICT Professionals,6
2019-07,VIC,215,North West,SA4,26,ICT Professionals,2
2019-07,VIC,216,Shepparton,SA4,26,ICT Professionals,2
2019-07,VIC,217,Warrnambool and South West,SA4,26,ICT Professionals,10
2019-07,QLD,3GBRI,Greater Brisbane,GCCSA,26,ICT Professionals,1471
2019-07,QLD,306,Cairns,SA4,26,ICT Professionals,5
2019-07,QLD,308,Central Queensland,SA4,26,ICT Professionals,7
2019-07,QLD,307,Darling Downs - Maranoa,SA4,26,ICT Professionals,3
2019-07,QLD,309,Gold Coast,SA4,26,ICT Professionals,83
2019-07,QLD,312,Mackay - Isaac - Whitsunday,SA4,26,ICT Professionals,8
2019-07,QLD,315,Queensland - Outback,SA4,26,ICT Professionals,2
2019-07,QLD,316,Sunshine Coast,SA4,26,ICT Professionals,21
2019-07,QLD,317,Toowoomba,SA4,26,ICT Professionals,3
2019-07,QLD,318,Townsville,SA4,26,ICT Professionals,9
2019-07,QLD,319,Wide Bay,SA4,26,ICT Professionals,5
2019-07,SA,4GADE,Greater Adelaide,GCCSA,26,ICT Professionals,397
2019-07,SA,405,Barossa - Yorke - Mid North,SA4,26,ICT Professionals,0
2019-07,SA,406,South Australia - Outback,SA4,26,ICT Professionals,1
2019-07,SA,407,South Australia - South East,SA4,26,ICT Professionals,1
2019-07,WA,5GPER,Greater Perth,GCCSA,26,ICT Professionals,683
2019-07,WA,501,Bunbury,SA4,26,ICT Professionals,1
2019-07,WA,510,Western Australia - Outback (North),SA4,26,ICT Professionals,8
2019-07,WA,511,Western Australia - Outback (South),SA4,26,ICT Professionals,4
2019-07,WA,509,Western Australia - Wheat Belt,SA4,26,ICT Professionals,1
2019-07,TAS,6GHOB,Greater Hobart,GCCSA,26,ICT Professionals,31
2019-07,TAS,602,Launceston and North East,SA4,26,ICT Professionals,4
2019-07,TAS,603,South East,SA4,26,ICT Professionals,1
2019-07,TAS,604,West and North West,SA4,26,ICT Professionals,1
2019-07,NT,7GDAR,Greater Darwin,GCCSA,26,ICT Professionals,30
2019-07,NT,702,Northern Territory - Outback,SA4,26,ICT Professionals,3
2019-07,ACT,8ACTE,Australian Capital Territory,GCCSA,26,ICT Professionals,981
2019-08,NSW,1GSYD,Greater Sydney,GCCSA,26,ICT Professionals,4366
2019-08,NSW,101,Capital Region,SA4,26,ICT Professionals,8
2019-08,NSW,103,Central West,SA4,26,ICT Professionals,5
2019-08,NSW,104,Coffs Harbour - Grafton,SA4,26,ICT Professionals,2
2019-08,NSW,105,Far West and Orana,SA4,26,ICT Professionals,3
2019-08,NSW,106,Hunter Valley exc Newcastle,SA4,26,ICT Professionals,41
2019-08,NSW,107,Illawarra,SA4,26,ICT Professionals,15
2019-08,NSW,108,Mid North Coast,SA4,26,ICT Professionals,9
2019-08,NSW,109,Murray,SA4,26,ICT Professionals,8
2019-08,NSW,110,New England and North West,SA4,26,ICT Professionals,5
2019-08,NSW,111,Newcastle and Lake Macquarie,SA4,26,ICT Professionals,55
2019-08,NSW,112,Richmond - Tweed,SA4,26,ICT Professionals,9
2019-08,NSW,113,Riverina,SA4,26,ICT Professionals,2
2019-08,NSW,114,Southern Highlands and Shoalhaven,SA4,26,ICT Professionals,6
2019-08,VIC,2GMEL,Greater Melbourne,GCCSA,26,ICT Professionals,3092
2019-08,VIC,201,Ballarat,SA4,26,ICT Professionals,10
2019-08,VIC,202,Bendigo,SA4,26,ICT Professionals,4
2019-08,VIC,203,Geelong,SA4,26,ICT Professionals,27
2019-08,VIC,204,Hume,SA4,26,ICT Professionals,3
2019-08,VIC,205,Latrobe - Gippsland,SA4,26,ICT Professionals,7
2019-08,VIC,215,North West,SA4,26,ICT Professionals,4
2019-08,VIC,216,Shepparton,SA4,26,ICT Professionals,2
2019-08,VIC,217,Warrnambool and South West,SA4,26,ICT Professionals,10
2019-08,QLD,3GBRI,Greater Brisbane,GCCSA,26,ICT Professionals,1442
2019-08,QLD,306,Cairns,SA4,26,ICT Professionals,6
2019-08,QLD,308,Central Queensland,SA4,26,ICT Professionals,10
2019-08,QLD,307,Darling Downs - Maranoa,SA4,26,ICT Professionals,3
2019-08,QLD,309,Gold Coast,SA4,26,ICT Professionals,82
2019-08,QLD,312,Mackay - Isaac - Whitsunday,SA4,26,ICT Professionals,10
2019-08,QLD,315,Queensland - Outback,SA4,26,ICT Professionals,2
2019-08,QLD,316,Sunshine Coast,SA4,26,ICT Professionals,12
2019-08,QLD,317,Toowoomba,SA4,26,ICT Professionals,3
2019-08,QLD,318,Townsville,SA4,26,ICT Professionals,10
